header
70	[ 0.07335068 -0.00748669  0.00017254]
71	[ 0.07336216 -0.00942303  0.00016916]
72	[ 0.07336996 -0.01136718  0.00016592]
73	[ 0.07338048 -0.01331754  0.00016196]
74	[ 0.07338767 -0.01527534  0.00015823]
75	[ 0.07339713 -0.01723864  0.00015383]
76	[ 0.07340371 -0.01920888  0.00014975]
77	[ 0.07341202 -0.02118392  0.00014504]
78	[ 0.073418   -0.02316535  0.00014072]
79	[ 0.07342513 -0.02515089  0.00013581]
80	[ 0.07343055 -0.02714218  0.00013138]
81	[ 0.07343646 -0.02913698  0.00012635]
82	[ 0.0734414  -0.03113684  0.00012192]
83	[ 0.07344608 -0.03313968  0.00011683]
84	[ 0.07345064 -0.03514687  0.00011253]
85	[ 0.0734541  -0.03715658  0.00010739]
86	[ 0.07345838 -0.03916991  0.00010335]
87	[ 7.346065e-02 -4.118542e-02  9.814433e-05]
88	[ 7.346476e-02 -4.320382e-02  9.451568e-05]
89	[ 7.3465884e-02 -4.5224145e-02  8.9145586e-05]
90	[ 7.346990e-02 -4.724662e-02  8.615311e-05]
91	[ 7.3469982e-02 -4.9270898e-02  8.0424288e-05]
92	[ 7.3473938e-02 -5.1296577e-02  7.8367339e-05]
93	[ 7.347314e-02 -5.332405e-02  7.196981e-05]
94	[ 7.347697e-02 -5.535216e-02  7.126688e-05]
95	[ 7.3475577e-02 -5.7382192e-02  6.3739739e-05]
96	[ 7.3479049e-02 -5.9412085e-02  6.4967593e-05]
97	[ 7.3477536e-02 -6.1444156e-02  5.5672375e-05]
98	[ 7.3480211e-02 -6.3475281e-02  5.9597518e-05]
99	[ 7.3479302e-02 -6.5508977e-02  4.7709527e-05]
100	[ 7.3480412e-02 -6.7540914e-02  5.5291803e-05]
101	[ 7.3481180e-02 -6.9575943e-02  3.9834413e-05]
102	[ 7.3479608e-02 -7.1608394e-02  5.2159750e-05]
103	[ 7.3483534e-02 -7.3644534e-02  3.2120992e-05]
104	[ 7.3477812e-02 -7.5677365e-02  5.0175320e-05]
105	[ 7.3486798e-02 -7.7714518e-02  2.4779229e-05]
106	[ 7.3475271e-02 -7.9747707e-02  4.8866994e-05]
107	[ 7.3491409e-02 -8.1785865e-02  1.8088174e-05]
108	[ 7.3472917e-02 -8.3819471e-02  4.6836132e-05]
109	[ 7.3498093e-02 -8.5858583e-02  1.1692042e-05]
110	[ 7.3473282e-02 -8.7694354e-02  4.0971638e-05]
111	[ 7.3506974e-02 -8.9534618e-02  4.5273837e-06]
112	[ 7.347849e-02 -9.136933e-02  2.389530e-05]
113	[ 7.3517106e-02 -9.3207374e-02 -9.9814979e-06]
114	[ 7.3494658e-02 -9.5037587e-02 -1.7404916e-05]
115	[ 7.3525190e-02 -9.6867807e-02 -4.5738492e-05]
116	[ 0.07352799 -0.09868405 -0.00010449]
117	[ 0.07351671 -0.10049038 -0.00013754]
118	[ 0.07356083 -0.10227257 -0.00024854]
119	[ 0.07349448 -0.10399725 -0.00034207]
120	[ 0.07357244 -0.10574263 -0.00053429]
121	[ 0.0710465   0.11352152 -0.00030753]
122	[ 7.1207233e-02  1.1166983e-01 -4.3919739e-05]
123	[7.1118139e-02 1.0992533e-01 9.3038223e-05]
124	[0.07119875 0.10822653 0.00030339]
125	[0.0711701  0.10652371 0.00043219]
126	[0.07119328 0.1048341  0.00060748]
127	[0.07120785 0.10313886 0.00073773]
128	[0.07119634 0.10144831 0.00088078]
